Hanzi,Pinyin,O'zbekcha
阿姨,āyí,Xola
啊,a,Undov so'z; yakunlovchi so'z
矮,ǎi,Past; qisqa; kalta
爱好,àihào,Hobbi
安静,ānjìng,Jim; jim bo'lish
把,bǎ,Ni qo'shimchasi
班,bān,Guruh; sinf
搬,bān,Ko'chmoq; harakatlanish
办法,bànfǎ,Usul; ilojisi
办公室,bàngōngshì,Ofis
半,bàn,Yarim
包,bāo,Quchoqlamoq; quchmoq
饱,bǎo,To'ymoq
北方,běifāng,Shimol
被,bèi,Adyol; dan qo'shimchasi
鼻子,bízi,Burun
比较,bǐjiào,Solishtirmoq; nisbatan
比赛,bǐsài,Musobaqa
笔记本,bǐjìběn,Noutbuk; daftar
必须,bìxū,Kerak; lozim
变化,biànhuà,O'zgarish; o'zgarmoq
别人,biérén,Boshqasi; boshqa odam
冰箱,bīngxiāng,Muzlatgich
不但……而且……,bùdàn…érqiě…,Nafaqat…; balki…
菜单,càidān,Menyu
参加,cānjiā,Ishtirok etish; qatnashish
草,cǎo,O't; maysa
层,céng,Etaj; qavat
差,chà,Kam
超市,chāoshì,Supermarket
衬衫,chènshān,Ko'ylak
成绩,chéngjì,Natija
城市,chéngshì,Shahar
迟到,chídào,Kechikmoq
除了,chúle,Dan tashqari
船,chuán,Qayiq; kema
春天,chūntiān,Bahor fasli
词典,cídiǎn,Slovar; lug'at
聪明,cōngmíng,Aqilli
打扫,dǎsǎo,Tozalamoq
打算,dǎsuàn,Rejalashtirish
带,dài,Olib olmoq; olib kelmoq
担心,dānxīn,Xavotir; xavotirlanish
蛋糕,dàngāo,Tort
当然,dāngrán,Albatta
地,de,Ravishdosh yasovchi
灯,dēng,Lampa; lampochka
地方,dìfāng,Joy; hudud
地铁,dìtiě,Metro
地图,dìtú,Xarita
电梯,diàntī,Lift
电子邮件,diànzǐ yóujiàn,Email adres
东,dōng,Sharq
冬天,dōngtiān,Qish fasli
动物,dòngwù,Hayvon
短,duǎn,Qisqa; kalta
段,duàn,Hisob so'z; bo'lim; bosqich
锻炼,duànliàn,Shug'ullanmoq
多么,duōme,Qanday qilib; qay darajada
饿,è,Och qolmoq
耳朵,ěrduo,Quloq
发,fā,Jo'natmoq
发烧,fāshāo,Isitmalamoq
发现,fāxiàn,Sezmoq; topmoq; aniqlamoq
方便,fāngbiàn,Qulay
放,fàng,Qo'ymoq
放心,fàngxīn,Xotirjam bo'lmoq
分,fēn,Minut
附近,fùjìn,Yaqin atrof
复习,fùxí,Takrorlamoq
干净,gānjìng,Toza; ozoda
感冒,gǎnmào,Shamollamoq
感兴趣,gǎnxìngqù,Qiziqish
刚才,gāngcái,Endigina
个子,gèzi,Bo'y
根据,gēnjù,Ga ko'ra
跟,gēn,Bilan
更,gèng,Roq qo'shimchasi
公斤,gōngjīn,Kilogramm
公园,gōngyuán,Park; bog'
故事,gùshì,Ertak; hikoya
刮风,guā fēng,Shamol
关,guān,Yopmoq
关系,guānxì,Munosabat; aloqa
关心,guānxīn,E'tibor berish; qayg'urish
关于,guānyú,Haqida
国家,guójiā,Mamlakat; davlat
过,guò,O'tmoq; o'tgan
过去,guòqù,O'tib ketgan; o'tmish
还是,háishì,Yoki
害怕,hàipà,Qo'rqmoq
黑板,hēibǎn,Doska
后来,hòulái,Keyinroq
护照,hùzhào,Pasport
花,huā,Gul
画,huà,Rasm chizmoq
坏,huài,Yomon; buzuq
欢迎,huānyíng,Xush kelibsiz
还,huán,Qaytarib berish; qaytarmoq
环境,huánjìng,Atrof muhit
换,huàn,Almashtirmoq; almashtirish
黄河,huánghé,Sariq daryo
回答,huídá,Javob bermoq
会议,huìyì,Majlis
或者,huòzhě,Yoki
几乎,jīhū,Deyarli; qariyb
机会,jīhuì,Imkoniyat
极,jí,G'oyat; juda ham; nihoyatda
记得,jìde,Eslamoq; yodlamoq
季节,jìjié,Fasl
检查,jiǎnchá,Tekshirmoq
简单,jiǎndān,Oson
健康,jiànkāng,Sog'liq; sog'lom
见面,jiànmiàn,Uchrashuv
讲,jiǎng,Gapirmoq
教,jiāo,O'rgatmoq
角,jiǎo,Burchak; pul birlik
脚,jiǎo,Oyoq
接,jiē,Kutib olmoq
街道,jiēdào,Ko'cha
节目,jiémù,Dastur
结婚,jiéhūn,Turmush qurmoq
结束,jiéshù,Tugatmoq
解决,jiějué,Hal qilmoq
借,jiè,Qarzga olmoq; qarzga bermoq
经常,jīngcháng,Tez-tez
经过,jīngguò,Bosib o'tmoq; o'tib ketmoq
经理,jīnglǐ,Boshqaruvchi; menejer
久,jiǔ,Uzoq
旧,jiù,Eski
句子,jùzi,Gap
决定,juédìng,Qaror qilmoq
可爱,kě'ài,Yoqimtoy
渴,kě,Chanqamoq
刻,kè,Soniya; o'yib yozish
客人,kèrén,Mehmon
空调,kōngtiáo,Konditsioner
口,kǒu,Og'iz
哭,kū,Yig'lamoq
裤子,kùzi,Shim
筷子,kuàizi,Choplar
蓝,lán,Ko'k
老,lǎo,Qari; keksa
离开,líkāi,Tark etish; ketish
礼物,lǐwù,Sovg'a
历史,lìshǐ,Tarix
脸,liǎn,Yuz; bet; chehra
练习,liànxí,Mashq qilmoq
辆,liàng,Hisob so'z (mashinalar uchun)
聊天,liáotiān,Suhbatlashmoq
了解,liǎojiě,Bilmoq
邻居,línjū,Qo'shni
留学,liúxué,O'qimoq; chet elda o'qish
楼,lóu,Bino
绿,lǜ,Yashil
马,mǎ,Ot
马上,mǎshàng,Tezda; tezgina
满意,mǎnyì,Qoniqmoq
帽子,màozi,Shapka
米,mǐ,Metr; guruch
面包,miànbāo,Non
明白,míngbai,Tushunmoq
拿,ná,Olmoq
奶奶,nǎinai,Buvi (ota tomondan)
南,nán,Janub
难,nán,Qiyin
难过,nánguò,G'amli; g'amgin; xafa
年级,niánjí,Kurs
鸟,niǎo,Qush
努力,nǔlì,Tirishqoq; tirishish
爬山,páshān,Tog'ga chiqish
盘子,pánzi,Likop; tarelka
胖,pàng,Semiz
皮鞋,píxié,Charm tufli
啤酒,píjiǔ,Pivo
瓶子,píngzi,Butilka; baklashka
其实,qíshí,Aslida
其他,qítā,Boshqa; o'zga
奇怪,qíguài,G'alati
骑,qí,Minmoq; chiqmoq
起飞,qǐfēi,Uchmoq
起来,qǐlái,Turmoq
清楚,qīngchu,Aniqroq; tushunarliroq
请假,qǐngjià,Ta'til olmoq
秋天,qiūtiān,Kuz fasli
裙子,qúnzi,Yubka
然后,ránhòu,Keyin
热情,rèqíng,Mehmondo'st
认为,rènwéi,O'ylashimcha
认真,rènzhēn,Jiddiy; rostakam
容易,róngyì,Oson
如果,rúguǒ,Agar
伞,sǎn,Zontik; soyabon
上网,shàngwǎng,Internetga kirmoq
生气,shēngqì,Jahli chiqmoq
声音,shēngyīn,Talaffuz; tovush
世界,shìjiè,Dunyo
试,shì,Sinab ko'rish
瘦,shòu,Ozg'in
叔叔,shūshu,Amaki
舒服,shūfu,Qulay
树,shù,Daraxt
数学,shùxué,Matematika
刷牙,shuāyá,Tish yuvmoq
双,shuāng,Juft narsalar uchun hisob so'z
水平,shuǐpíng,Daraja
司机,sījī,Haydovchi; shofyor
太阳,tàiyáng,Quyoshli; quyosh
特别,tèbié,Ayniqsa; juda
疼,téng,Og'riq
提高,tígāo,Ko'tarilmoq
体育,tǐyù,Jismoniy tarbiya
甜,tián,Shirin
条,tiáo,Hisob so'z
同事,tóngshì,Xizmatdosh; hamkasb
同意,tóngyì,Rozi bo'lmoq
头发,tóufa,Soch; sochlar
突然,tūrán,To'satdan
图书馆,túshūguǎn,Kutubxona
腿,tuǐ,Oyoq
完成,wánchéng,Tugatmoq
碗,wǎn,Piyola
万,wàn,O'n ming (10000)
忘记,wàngjì,Unutmoq; esdan chiqarish
为,wèi,Uchun; evaziga; tufayli
为了,wèile,Uchun
位,wèi,Hisob so'z
文化,wénhuà,Madaniyat
西,xī,G'arb
习惯,xíguàn,Odatlanmoq
洗手间,xǐshǒujiān,Qo'l yuvish xonasi
洗澡,xǐzǎo,Yuvinmoq
夏天,xiàtiān,Yoz fasli
先,xiān,Avval; birinchi
相信,xiāngxìn,Ishonmoq
香蕉,xiāngjiāo,Banan
向,xiàng,-Ga; sari; qarab; tomon
像,xiàng,O'xshash; xuddi
小心,xiǎoxīn,Ehtiyot bo'lish
校长,xiàozhǎng,Maktab yoki universitet direktori
新闻,xīnwén,Yangilik; xabar
新鲜,xīnxiān,Svejiy; barra
信用卡,xìnyòngkǎ,Kredit kartochka
行李箱,xínglixiāng,Chemodan; bagaj
熊猫,xióngmāo,Panda
需要,xūyào,Kerak
选择,xuǎnzé,Tanlamoq
要求,yāoqiú,Talab qilmoq; so'ramoq
爷爷,yéye,Bobo; buva (ota tomon)
