hanzi,pinyin,uzbek
爱,ài,Sevmoq
八,bā,Sakkiz
爸爸,bàba,Ota
杯子,bēizi,Stakan
北京,Běijīng,Pekin
本,běn,O'lchov so'z (kitob uchun)
不,bù,"Yo'q, emas"
菜,cài,"Taom, sabzavot"
茶,chá,Choy
吃,chī,Yemoq
出租车,chūzūchē,Taksi
打电话,dǎ diànhuà,Telefon qilmoq
大,dà,Katta
的,de,-ning qo'shimchasi
点,diǎn,Soat (vaqt)
电脑,diànnǎo,Kompyuter
电视,diànshì,Televizor
电影,diànyǐng,Kino
东西,dōngxi,Narsa
都,dōu,Hammasi
读,dú,O'qimoq
对不起,duìbuqǐ,Kechirasiz
多,duō,Ko'p
多少,duōshao,Qancha
儿子,érzi,O'g'il
二,èr,Ikki
饭店,fàndiàn,Restoran
飞机,fēijī,Samolyot
分钟,fēnzhōng,Daqiqa
高兴,gāoxìng,Xursand
个,gè,O'lchov so'z
工作,gōngzuò,Ish
狗,gǒu,It
汉语,Hànyǔ,Xitoy tili
好,hǎo,Yaxshi
号,hào,Raqam
喝,hē,Ichmoq
和,hé,Va
很,hěn,Juda
后面,hòumiàn,Orqasida
回,huí,Qaytmoq
会,huì,Qila olmoq
几,jǐ,Necha
家,jiā,Uy
叫,jiào,Deb atalmoq
今天,jīntiān,Bugun
九,jiǔ,To'qqiz
开,kāi,Ochildi
看,kàn,Ko'rmoq
看见,kànjiàn,Ko'rib qolmoq
块,kuài,Yuan (pul)
来,lái,Kelmoq
老师,lǎoshī,O'qituvchi
了,le,O'tgan zamon ko'rsatkichi
冷,lěng,Sovuq
里,lǐ,Ichida
六,liù,Olti
妈妈,māma,Ona
吗,ma,So'roq yuklamasi
买,mǎi,Sotib olmoq
猫,māo,Mushuk
没,méi,Yo'q (bo'lmagan)
没关系,méi guānxi,Hechqisi yo'q
米饭,mǐfàn,Guruch
明天,míngtiān,Ertaga
名字,míngzi,Ism
哪,nǎ,Qaysi
哪儿,nǎr,Qayer
那,nà,U (ko'rsatish)
呢,ne,Yuklama
能,néng,Qila olmoq
你,nǐ,Sen
年,nián,Yil
女儿,nǚ'ér,Qiz
朋友,péngyou,Do'st
漂亮,piàoliang,Chiroyli
苹果,píngguǒ,Olma
七,qī,Yetti
钱,qián,Pul
前面,qiánmiàn,Oldida
请,qǐng,Iltimos
去,qù,Bormoq
热,rè,Issiq
人,rén,Odam
认识,rènshi,Tanishmoq
三,sān,Uch
商店,shāngdiàn,Do'kon
上,shàng,Ustida
上午,shàngwǔ,Ertalab
少,shǎo,Kam
谁,shéi,Kim
什么,shénme,Nima
十,shí,O'n
时候,shíhou,Vaqt
是,shì,Bo'lmoq
书,shū,Kitob
水,shuǐ,Suv
水果,shuǐguǒ,Meva
睡觉,shuìjiào,Uxlamoq
说,shuō,Aytmoq
四,sì,To'rt
岁,suì,Yosh
他,tā,U (erkak)
她,tā,U (ayol)
太,tài,Juda
天气,tiānqì,Ob-havo
听,tīng,Tinglamoq
同学,tóngxué,Sinfdosh
喂,wèi,Allo
我,wǒ,Men
我们,wǒmen,Biz
五,wǔ,Besh
喜欢,xǐhuan,Yoqtirmoq
下,xià,Ostida
下午,xiàwǔ,Kechga yaqin
下雨,xiàyǔ,Yomg'ir yog'moq
先生,xiānsheng,Janob
现在,xiànzài,Hozir
想,xiǎng,O'ylamoq
小,xiǎo,Kichik
小姐,xiǎojiě,Xonim
些,xiē,Ba'zi
写,xiě,Yozmoq
谢谢,xièxie,Rahmat
星期,xīngqī,Hafta
学生,xuésheng,O'quvchi
学习,xuéxí,O'rganmoq
学校,xuéxiào,Maktab
一,yī,Bir
衣服,yīfu,Kiyim
医生,yīshēng,Shifokor
医院,yīyuàn,Kasalxona
椅子,yǐzi,Stul
有,yǒu,Bor
月,yuè,Oy
再见,zàijiàn,Xayr
在,zài,-da
怎么,zěnme,Qanday
怎么样,zěnmeyàng,Qanday
这,zhè,Bu
中国,Zhōngguó,Xitoy
中午,zhōngwǔ,Tush payti
住,zhù,Yashamoq
桌子,zhuōzi,Stol
字,zì,Harflar
昨天,zuótiān,Kecha
做,zuò,Qilmoq
坐,zuò,O'tirmoq
