Hanzi,Pinyin,O'zbekcha
阿姨,āyí,Xola; enaga
啊,a,Undov so’z
唉,āi,Ey; oy;voy (undov so’z)
矮,ǎi,Past; kalta
爱,ài,Sevmoq; muhabbat
爱好,àihào,Hobbi; qiziqish; qiziqmoq
爱护,àihù,Asramoq; g’amxo’rlik qilmoq
爱情,àiqíng,Muhabbat; sevgi
爱惜,àixī,Qadrlamoq; asramoq
爱心,àixīn,His – tuyg’u; muhabbat
安静,ānjìng,Tinch; osoyishta
安排,ānpái,Taqsimlamoq; rejalashtirmoq
安全,ānquán,Xavfsizlik; xavfsiz
安慰,ānwèi,Yupatmoq; tinchlantirmoq
安装,ānzhuāng,O’rnatmoq
岸,àn,Qirg’oq
暗,àn,Qorong’u
按时,ànshí,Vaqtida; o’z vaqtida
按照,ànzhào,Bo’yicha; - ga binoan
八,bā,Sakkiz
把,bǎ,Tutmoq; ushlamoq; - ni (tushum kelishigi qo’shimchasi )
把握,bǎwò,Ishonch; kafolat
爸爸,bàba,Dada; ota
吧,ba,Modal so’z
白,bái,Oq; oqargan
百,bǎi,Yuz (raqam)
摆,bǎi,Qo’ymoq; joylashtirmoq
搬,bān,Ko’chmoq; ko’chirmoq; o’tkazmoq
班,bān,Guruh
班主任,bānzhǔrèn,Guruh rahbari
半,bàn,Yarim
办法,bànfǎ,Usul; metod
办公室,bàngōngshì,Ofis; xona
办理,bànlǐ,Shug’ullanmoq; olib bormoq
帮忙,bāngmáng,Yordam bermoq; yordam ko’rsatmoq
帮助,bāngzhù,Yordam bermoq; yordam
棒,bàng,Hassa; tayoq; zo’r; ajoyib
傍晚,bàngwǎn,Kechga yaqin
包,bāo,Bukmoq; muqovalamoq; bog’lamoq
包裹,bāoguǒ,Posilka
包含,bāohán,O’zini boqmoq
包括,bāokuò,Qamrab olmoq; qoplamoq; shu bilan birga
包子,bāozi,Bo’g’irsoq
薄,báo,Yupqa; ingichka
饱,bǎo,To’ymoq; qoniqmoq
宝贝,bǎobèi,Qimmatbaho; qadrli
宝贵,bǎoguì,Qadrli; qimmatli
保持,bǎochí,Asramoq; rioya qilmoq
保存,bǎocún,Asramoq; saqlamoq
保护,bǎohù,Himoya qilmoq
保留,bǎoliú,Saqlamoq
保险,bǎoxiǎn,Ehtiyot qilmoq; xavfsiz
保证,bǎozhèng,Kafil bo’lmoq; kafillik bermoq
抱,bào,Quchoqlamoq; qo’ltiqlamoq
抱歉,bàoqiàn,Uzr so’ramoq; afsuslanmoq
报道,bàodào,Bildirmoq; xabar qilmoq
报告,bàogào,Bildirmoq; ma’lumot bermoq
报名,bàomíng,Ro’yxatga olmoq
报纸,bàozhǐ,Gazeta
悲观,bēiguān,Qayg’uli; hazin
杯子,bēizi,Bakal; krujka; qadah
北方,běifāng,Shimol
北京,Běijīng,Pekin
倍,bèi,Marta; marotaba
背,bèi,Yelka; yelkalamoq; yodlamoq
背景,bèijǐng,Orqa fon
被,bèi,Tomonidan (majhul nisbat)
被子,bèizi,Ko’rpa; adyol
本,běn,Hisob so’z (o’simlik va gullarga)
本科,běnkē,Asosiy fanlar
本来,běnlái,Dastavval; avval
本领,běnlǐng,Mahorat; mohirlik
本质,běnzhì,Mohiyat; tub ma’no
笨,bèn,Ahmoq
鼻子,bízi,Burun
比,bǐ,Taqqoslamoq; solishtirmoq
比较,bǐjiào,Yetarli; ancha
比例,bǐlì,Nisbat; mutanosiblik
比如,bǐrú,Masalan; misol uchun
比赛,bǐsài,Musobaqa
